link,headline,datetime_posted,content,scraped_at,analysis_result
https://www.ndtv.com/world-news/what-they-deserve-trump-to-strip-harvard-of-its-tax-exempt-status-8313081#pfrom=home-ndtvworld_world_top_scroll,"""What They Deserve"": Trump To Strip Harvard Of Its Tax Exempt Status","Fri, 02 May 2025 17:59:38 +0530","President Trump announced plans to revoke Harvard University's tax-exempt status, stating in a social media post that it's what the institution deserves.
US President Donald Trump said on Friday that the administration will strip Harvard University of its tax exempt status.
""We are going to be taking away Harvard's Tax Exempt Status. It's what they deserve!"" Trump said in a post on his social media platform.
On Tuesday, the Ivy League University released its long awaited internal probe report on campus antisemitism, which showed that latter harboured a hostile environment towards Jews, Israelis and Muslims.
“I am sorry for the moments when we failed to meet the high expectations we rightfully set for our community,” Harvard's interim president Alan Garbar said in a statement.This move comes amid Trump administration freezing $2.2 billion in multiyear federal grants over Harvard's refusal to help stamp out alleged antisemitism and hate in the university campus.
Harvard had responded by earlier by saying that the removal of its tax exempt status would jeopardise critical research, its educational mission and reduce financial aid for students.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:03:37,Negative
https://www.ndtv.com/world-news/jd-vance-to-india-on-reply-to-pakistan-over-jammu-and-kashmir-pahalgam-terror-attack-avoid-regional-war-8308934#pfrom=home-ndtvworld_world_top_scroll,"""Pak, To Extent They're Responsible..."": JD Vance On Tracking Pahalgam Attack Terrorists","Fri, 02 May 2025 09:31:30 +0530","US Vice President JD Vance commented on the deadly terror attack in Jammu and Kashmir, urging India to respond carefully to avoid regional conflict and calling on Pakistan to assist in hunting down the terrorists.
US Vice President JD Vance said on Thursday that he hopes India will respond to Pakistan over the terror attack in Jammu and Kashmir that killed 26 - in a way that would avoid a ""broader regional conflict"". He also urged Pakistan to cooperate with India to ""hunt down"" the terrorists involved in the attack in Pahalgam.
""Our hope here is that India responds to this terrorist attack in a way that doesn't lead to a broader regional conflict. And we hope, frankly, that Pakistan, to the extent that they're responsible, cooperates with India to make sure that the terrorists sometimes operating in their territory are hunted down and dealt with,"" Mr Vance said in a podcast interview with Fox News.
MrVancewas on a India tour with his family when the deadly attack took place.
Also Read |'Don't Want People Going After Muslims': Wife Of Navy Officer Killed In J&K Attack
Last month, he called Prime Minister Narendra Modi and strongly condemned the terror attack and conveyed his deepest condolences on the loss of lives. He also expressed that the US stands with the people of India and is ready to provide all assistance in the joint fight against terrorism, Ministry of External Affairs spokesperson Randhir Jaiswal said in a post on X.
Vice President@VP@JDVancecalled Prime Minister@narendramodiand strongly condemned the dastardly terror attack in Jammu and Kashmir. He conveyed his deepest condolences on the loss of lives and reiterated that the United States stands with the people of India in this…
The US Vice President also wrote on X: ""Usha and I extend our condolences to the victims of the devastating terrorist attack inPahalgam, India. Over the past few days, we have been overcome with the beauty of this country and its people. Our thoughts and prayers are with them as they mourn this horrific attack.""
Usha and I extend our condolences to the victims of the devastating terrorist attack in Pahalgam, India. Over the past few days, we have been overcome with the beauty of this country and its people. Our thoughts and prayers are with them as they mourn this horrific attack.https://t.co/cUAyMXje5A
Many top US leaders, including President Donald Trump, condemned the attack, calling it ""terror"" and ""unconscionable"". They have also expressed their support for India without directly blaming Pakistan.
Twenty-six people, including one Nepali national, were killed and many others were injured as multiple terrorists descended on Baisaran Valley, known as ""Mini Switzerland"" - a tourist hotspot with rolling hills and verdant orchards - and opened fire last week. According to eyewitnesses, as the gunshots rang out, there was panic among the tourists who ran for cover. However, there was no place for them to hide in the wide, open space.
Security forces have launched search operations to track down the terrorists involved in the attack. While India has taken strict action against Pakistan by suspending the decades-old Indus Waters Treaty indefinitely and sending all Pakistani nationals back.
The attack has been one of the biggest terror attacks after the abrogation of Article 370 in 2019.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:03:39,Negative
https://www.ndtv.com/world-news/how-the-white-house-turned-viral-gorilla-debate-about-immigration-8312604#pfrom=home-ndtvworld_world_top_scroll,How The White House Turned Viral Gorilla Debate About Immigration,"Fri, 02 May 2025 16:39:19 +0530","The internet debates whether 100 unarmed men could defeat a gorilla, sparked by X user Michael Sherrills. Celebrities like MrBeast and Elon Musk weighed in, and even the White House used the meme for commentary on immigration policy.
The internet is abuzz with a peculiar question: could 100 unarmed men take down a single adult male gorilla in a fight? Thedebatewas sparked by X user Michael Sherrills on April 24, and it has since snowballed into a full-blown phenomenon, captivating the attention of celebrities and politicians alike.YouTube star MrBeast poked fun at the idea, posting a fake thumbnail titled ""100 Men vs. a Gorilla"" and jokingly asking for volunteers. Elon Musk said: ""Sure, what's the worst that could happen?""
Even the White House got in on the action, using the meme to make a pointed commentary on immigration. Their post featured a photo of immigrants boarding a plane with an image of President Donald Trump, captioned: ""100 men vs 1 gorilla is still up for debate. Meanwhile, 142,000+ illegal alien criminals went up against 1 President Trump - They all got deported.""
100 men vs 1 gorilla is still up for debate.Meanwhile, 142,000+ illegal alien criminals went up against 1 President Trump —They all got deported. 🤭pic.twitter.com/2LaXNC3IEG
The White House's post seemed to endorse Trump's hardline immigration record. According to ICE, during Trump's initial 100 days in office, 66,463 people were detained without proper documentation, and 65,682 were deported.
Michael Sherrills, the man behind the original question, expressed surprise at the frenzy his query sparked and he toldNBC, ""The thing people love the most is things that probably won't ever happen, because you can debate about it,"" he said. ""It's like tasting a dream, you know what I'm saying? And I think people love to feel it out."" Sherrills remains confident that 100 men could defeat a gorilla, but with some caveats. ""I can do it, but I got to be in the last batch, and I have to be able to pick the other 99 people,"" he said. ""We're gonna have to call a couple of wrestlers, some football players probably.""
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:03:41,Positive
https://www.ndtv.com/world-news/how-a-first-time-politician-defeated-canadas-pm-candidate-pierre-poilievre-in-his-own-riding-8307215#pfrom=home-ndtvworld_world_top_scroll,How A First-Time Politician Defeated Canada's PM Candidate Pierre Poilievre In His Own Riding,"Thu, 01 May 2025 23:48:31 +0530","Bruce Fanjoy, a Liberal newcomer, stunned by defeating Conservative leader Pierre Poilievre in Carleton, ending his 20-year MP tenure. Fanjoy's positive campaign, door-knocking, and Poilievre's perceived absence led to this significant win.
In a stunning upset, Bruce Fanjoy, a stay-at-home dad and Liberal candidate, has defeated Pierre Poilievre, the leader of the Conservative Party, in the Carleton electoral district, with over 4,300 votes. This remarkable victory not only marked the end of Poilievre's 20-year tenure as the MP for Carleton but also dealt a significant blow to his bid for prime minister.
Fanjoy's campaign was built on a foundation of positivity and hard work. ""We ran a positive campaign, in remarkable contrast to Pierre's style of politics,"" he toldPolitico Magazine. ""We attracted a small army of volunteers, and as the campaign carried on, more and more people believed in what we were doing."" Fanjoy's dedication to his constituents was evident in his door-knocking efforts, which began in 2023. ""I wore through two pairs of sneakers and a pair of boots,"" he recalled.
The turning point in the campaign came when Donald Trump's threats against Canada began to escalate. ""There was a sea change in what I was hearing at the doors,"" Fanjoy said. ""Canadians recognised we were facing another U.S. administration led by Donald Trump and some of his hostile rhetoric toward Canada, our economy, and our political sovereignty."" This shift in public opinion, combined with Poilievre's perceived absence from the riding, ultimately sealed his fate.
Fanjoy attributed his success to his team's tireless efforts and Poilievre's complacency. ""We outworked him,"" he said. ""We were present, we were all over the riding, and we were connecting with voters. People appreciated the fact that we were present and that we offered a positive alternative to Pierre."" Fanjoy also noted that Poilievre's absence from the riding was a significant factor in his defeat. ""If there was one surprise that I had in this campaign in Carleton, it's that Pierre barely showed up,"" he said. ""After all his time as MP, he took the riding for granted, and nobody likes to be taken for granted.""
As a first-time politician, Fanjoy remains committed to his values and principles. ""I know who I am, and I'm going to be true to my values,"" he said. ""I grew up playing competitive sports, I had a career in the private sector, so I understand what it's like to compete."" Fanjoy's victory is seen as a referendum on Poilievre's leadership style and a rejection of his conservative ideology. ""The result is very clear that Canadians want responsible leadership,"" Fanjoy said. ""They want serious leadership, and this is no time to be flirting with the kind of politics that we're seeing down to the south.""
With the Liberal Party now forming a minority government, Fanjoy expects the party to govern with principle and in the best interests of Canadians. ""We'll govern with principle, we'll govern in the best interests of Canadians,"" he said. ""This Liberal government is filled with people who are committed to their communities and committed to this country.""
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:03:43,Positive
https://www.ndtv.com/world-news/ice-creams-video-games-and-his-tiny-office-musks-100-days-at-doge-8306443#pfrom=home-ndtvworld_world_top_scroll,"Ice-Cream, Video Games And His Tiny Office: Musk's 100 Days At DOGE","Thu, 01 May 2025 22:14:39 +0530","Elon Musk plans to reduce his role in the Department of Government Efficiency (DOGE) and likens himself to Buddha. He aims to advise President Trump part-time post his term expiry in May. Despite stepping back, he believes DOGE can thrive independently.
Elon Musk, the head of the Department of Government Efficiency (DOGE) will be minimising his work in the government, and he's embracing his role as a visionary leader, likening himself to Buddha, perThe Washington Post. When asked who would succeed him, Musk replied, ""Is Buddha needed for Buddhism? Was it not stronger after he passed away?""Musk's departure from DOGE is necessitated by his limited term as a special government employee, which expires in May. Despite this, he expressed his willingness to continue contributing to the government on a part-time basis. ""I'm willing to contribute on average, one to two days a week... as long as the president wants me to do it,"" Musk said. He envisions dedicating a few days each month to advising President Donald Trump and the Vice President. ""Obviously, if the president or the Cabinet has an emergency that they want me to respond to, then I'll do that,"" Musk added.
As Musk refocuses on his business ventures, including Tesla, X, and Starlink, speculation surrounds his successor. Recently, Tesla's board allegedly sought executive search firms to identify potential candidates for a possible leadership transition. Musk swiftly responded to the report, labeling it ""deliberately false"" and a ""breach of ethics.""
Despite stepping back from DOGE, Musk remains committed to the initiative, describing it as ""a way of life... like Buddhism."" He claims DOGE has achieved $160 billion in estimated savings and aims to reach $1 trillion. According to Musk, the DOGE's success is not solely dependent on his leadership. ""DOGE is kind of a way of life... we make converts all the time,"" he said, expressing confidence in the team's ability to sustain momentum.
Musk's working relationship with Trump appears to be informal and friendly, with the billionaire often staying overnight at the White House. ""The president is - I guess we're good friends,"" Musk said. Trump has even offered Musk the Lincoln Bedroom, complete with a tour of its history. The two have also shared late-night ice cream invitations. ""He'll actually call, like, late at night and say, 'Oh, by the way, make sure you get some ice cream from the kitchen,'"" Musk said.
He spoke about gaining three pounds in one night. ""It was epic. I mean, don't tell RFK,"" he said, referencing Health Secretary Robert F. Kennedy Jr. He also recalled how he played video games such as Diablo and “Pathfinder” on a large computer monitor in his West Wing office.
In a candid conversation, Musk shared his thoughts on the DOGE's office space, describing it as ""comically tiny"" with a view of the HVAC unit. ""It's harder to shoot me there... there's not a good line of sight,"" he joked.
Musk remains optimistic about DOGE's prospects, believing it can endure without his direct involvement. With around 100 employees currently working on DOGE, Musk is confident that the initiative will continue to make progress, possibly for the duration of Trump's second term.
But he also spoke about the hardships of working at DOGE. ""It's like 60 percent fun, 70 percent fun. Depends on the week,"" he said. ""Being attacked relentlessly is not super fun. Seeing cars burning is not fun."" He compared the department to a ""start-up"", saying ""things have been very intense"".
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:03:48,Positive
https://www.ndtv.com/world-news/canada-election-2025-22-punjab-origin-candidates-elected-as-canadian-mps-8305023#pfrom=home-ndtvworld_world_top_scroll,Canada Election 2025: 22 Candidates Of Punjabi Descent Elected As Canadian MPs,"Fri, 02 May 2025 14:05:10 +0530","The 2025 Canadian federal elections saw a record 22 Punjabi-origin candidates elected to the House of Commons, comprising over 6% of Parliament. Notable wins included Ruby Sahota and Anita Anand, while NDP leader Jagmeet Singh lost his seat.
The 2025 Canadian federal elections have marked a historic milestone for the Punjabi community, with a record 22 candidates of Punjabi origin securing seats in the House of Commons. This impressive representation accounts for over 6% of Canada's parliament, showcasing the growing influence of the Punjabi diaspora in the country's politics.
In Brampton, a city known for its strong Punjabi presence, the election results were particularly noteworthy. Five constituencies in Brampton featured candidates with Punjabi names. Ruby Sahota, a Liberal, defeated Amandeep Judge, a Conservative, in Brampton North, while Maninder Siddhu, a Liberal, beat Bob Dosanjh, a Conservative, in Brampton East and Sonia Siddhu, a Liberal defeated Sukhdeep Kang, a Conservative, in Brampton South.
Beyond Brampton, other Punjabi Canadian politicians made significant wins. Anita Anand, a former innovation minister, retained her seat in Oakville East, while Bardish Chagger, a veteran politician known for her work on diversity and inclusion, secured a win in Waterloo. Other Liberal winners included Anju Dhillon, Sukh Dhaliwal, Randeep Sarai, and Param Bains. The Conservative Party also saw success with candidates of Punjabi origin, including Jasraj Hallan, Dalwinder Gill, Amanpreet Gill, Arpan Khanna, Tim Uppal, Parm Gill, Sukhman Gill, Jagsharan Singh Mahal and Harb Gill.
However, not all prominent Punjabi politicians fared well. Jagmeet Singh, the leader of the New Democratic Party (NDP), lost his seat in Burnaby Central, finishing third and subsequently resigning as NDP president. This unexpected outcome has sent shockwaves through Canada's political landscape.
The success of Punjabi Canadians in the 2025 elections reflects the growing clout of the Indian diaspora, particularly the Punjabi Sikh community, in shaping policies in one of the world's most progressive democracies.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:04:01,Positive
https://www.ndtv.com/world-news/why-this-uk-woman-ran-a-marathon-in-her-wedding-gown-8302342#pfrom=home-ndtvworld_world_featured_articles,Why This UK Woman Ran A Marathon In Her Wedding Gown,"Thu, 01 May 2025 18:45:48 +0530","A UK woman completed the London Marathon wearing her wedding gown. This was Laura Coleman-Day's 13th marathon this year. The woman from Lincolnshire, England, raised money to support a cancer charity and in the memory of her husband Xander.
Ms Coleman-Day's husband Xander died in 2024 due to complications following a transplant he required after being diagnosed with acute lymphoblastic leukaemia, a rare form of cancer that affects the bone marrow and blood, theBBCreported.
The 33-year-old completed the marathon alongside her Guernsey-based friend Kate Walford, who is also doing several marathons in memory of her best friend who died from leukaemia in 2018.
She described finishing the marathon on her wedding anniversary as ""absolutely amazing"" after running the final three miles wearing the dress.
On her sixth wedding anniversary, Ms Coleman-Day stopped running for a time in the 23rd mile of the 26.2-mile marathon to put on the wedding gown so she could wear it to the end of the marathon.
""I thought that going overboard with my wedding gown would be the ideal way to honour the day and Xander,"" Ms Coleman-Day told BBC News.
""Kate and I are going to stop at mile 23 and put my wedding dress on,"" she added,Peoplereported.
She claimed it was ""hot"" to finish the race wearing the outfit, but she did it with Ms Walford. ""It was absolutely amazing,"" Ms Coleman-Day said.
Ms Coleman-Day married Xander, a Royal Air Force aerospace battle manager, in 2019. The two had a son, Amos, a few years later.
Mr Xander began complaining of aches and pains, and physicians diagnosed him with acute lymphoblastic leukaemia (ALL) by 2022, she told local outletLincolnshire Live.
He was deemed cancer-free in December 2022 but had a relapse shortly after receiving treatment.
Despite his optimism, the cancer eventually claimed Mr Xander's life in February 2024 at the age of 36. Their son was two years old at the time.
Ms Coleman-Day ran the London Marathon to raise money for Anthony Nolan, a charity which works in the fields of leukaemia and hematopoietic stem cell transplantation.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:04:19,Positive
https://www.ndtv.com/world-news/trump-vs-toyota-why-us-cars-are-a-rare-sight-in-japan-8310625#pfrom=home-ndtvworld_world_featured_articles,Trump Vs Toyota? Why US Cars Are A Rare Sight In Japan,"Fri, 02 May 2025 12:56:30 +0530","With their sleek curves and chrome grilles, the classic American cars on sale at Yosuke Fukuda's yard ooze Californian cool but on Japanese roads new US vehicles are a rare sight -- much to President Donald Trump's annoyance.
Japan's Toyota is the second-top-selling automaker in the United States, where it shifted more than 2.3 million vehicles last year.
Meanwhile US industry leader General Motors sold just 587 Chevrolets and 449 Cadillacs in Japan, while Ford pulled out of the tough Japanese market nearly a decade ago.
And it's not just an aversion to foreign brands -- in 2024 Mercedes-Benz sold more than 53,000 vehicles and BMW sold over 52,000 including Minis.
""They don't take our cars, but we take MILLIONS of theirs!"" Trump said in April, accusing Japan of treating its ally ""very poorly on trade"".
To try and rev up the US auto industry, Trump has imposed a 25 percent levy on imported vehicles, in a major blow to Tokyo.
Many people in Japan admire vintage US cars, but when it comes to new wheels, they hold more trust in domestic brands, Fukuda told AFP.
West Coast hip-hop booms out at his shop Y-Tech, an incongruous slice of Americana amid the rice paddies north of Tokyo.
""To be honest I think the problem is the size of the roads,"" as well as an impression that US cars break down more often, which is likely unfounded, Fukuda said.
At his garage, the 20 or so classic US models in varying states of restoration include a silver-green 1970 Chevrolet Nova and a 1954 Buick Roadmaster.
But Fukuda also drives a modern SUV -- a General Motors Yukon, which is two metres (6.5 feet) wide and ""sticks out or is packed in"" when parked in Tokyo's narrow streets.
Although some US cars are smaller, the brands remain a niche choice because ""there are hardly any places that sell them or repair them"", he said.
Yuka Fujimoto, a 42-year-old modelling agency manager, told AFP she had never considered buying a US car.
""American cars don't sell very well"" in Japan, where domestic automakers offer ""a wide range of line-ups including for families"", she said.
However Trump believes Japan is keeping out American cars with ""non-tariff cheating"".
This includes ""Protective Technical Standards (Japan's bowling ball test)"" he wrote last month on Truth Social.
""They take a bowling ball from 20 feet up in the air and they drop it on the hood of the car. And if the hood dents, then the car doesn't qualify,"" Trump reportedly elaborated in 2018.
A Japanese transport ministry official in charge of safety standards told AFP that no actual bowling balls are used.
Trump ""may be mixing it up with a test where a hemispherical human head model is hit on the hood"", the official said.
But the car's bonnet is in fact required to dent to absorb the impact, he explained.
Tweaking Japan's vehicle import procedures is a potential bargaining chip for Tokyo in tariff talks with Washington.
The country could offer to widen access to a simplified screening process which currently applies to 5,000 vehicles per model annually, Japanese media reports said.
Trump's auto tariffs have already brought some changes, with Nissan last month revising plans to reduce US production.
Meanwhile Honda is moving production of its hybrid Civic model from Japan to the United States, saying no ""single issue"" had prompted the decision.
But US carmakers still face the problem of tepid demand among Japanese consumers.
Hisashi Uchida, a 56-year-old construction firm employee, said his Toyota car ""doesn't have any special features, but it doesn't break down"".
""Many American cars can't be parked at multi-storey parking lots, and their fuel efficiency isn't good,"" he said.
Overall ""I don't think US carmakers are really putting importance on the Japanese market, which is significantly smaller than their home market"", said Masamitsu Misawa, chief editor of Japanese vehicle magazine Car Top.
In contrast, German car brands offer a better range and their designs ""better match Japanese people's tastes"", he told AFP.
Cars in Japan drive on the left, and unlike US rivals European automakers usually put the steering wheel on the correct side for vehicles sold there, he added.
That could be changing. General Motors' 8th-generation Chevrolet Corvette has right-hand drive in Japan for the first time.
""I think that reflects efforts (for selling in Japan) by manufacturers and importers,"" Misawa said.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:04:46,Positive
https://www.ndtv.com/world-news/dont-pretend-to-be-deaf-dumb-china-claims-covid-19-originated-in-us-8302212#pfrom=home-ndtvworld_world_featured_articles,"""Don't Pretend To Be Deaf, Dumb"": China Claims Covid-19 Originated In US","Thu, 01 May 2025 14:20:02 +0530","The Covid-19 pandemic originated from the United States and not Wuhan, China said on Wednesday, accusing Washington of ""shifting the blame"". The statement came in response to the US government's latest claims that the virus likely leaked from a lab in Wuhan, China.
China hit back, accusing the US of ""shamelessly politicising"" the virus' origins.
In a white paper, Chinese officials said, ""Substantial evidence suggested the Covid-19 might have emerged in the United States earlier than its officially-claimed timeline, and earlier than the outbreak in China."" The paper also focused on Beijing's long-standing position that a lab leak is ""extremely unlikely,"" citing a joint World Health Organization (WHO)-China study.
""The US government, instead of facing squarely its failure in response to COVID-19 and reflecting on its shortcomings, has tried to shift the blame and divert people's attention by shamelessly politicising SARS-CoV-2 origins tracing,"" the Chinese government said. The US should not ""pretend to be deaf and dumb,"" they said.
The white paper alleged Washington evaded responsibility and attempted to distract from its mishandling of the pandemic. ""The US should cease from shifting blame and evading responsibility, stop finding external excuses for its internal malaise, and genuinely reflect on and overhaul its public health policies,"" the document read. ""The US cannot continue to turn a deaf ear to the numerous questions over its conduct,"" they said, as perFox News.
The strongly worded document followed the White House's decision earlier this month to revamp its COVID.gov website. The updated site pushes the theory that COVID-19 leaked from the Wuhan Institute of Virology, describes it as the ""most likely"" origin, and criticises former US officials such as Dr Anthony Fauci and former President Joe Biden.
""A lab-related incident involving gain-of-function research is most likely the origin of COVID-19,"" reads the updated White House section. It also asserts that current oversight of such research is ""incomplete, severely convoluted, and lack[s] global applicability.""
The new US stance cites biological features in the virus that allegedly don't occur in nature and suggests that if a natural origin were true, evidence would have surfaced by now. The website also references a past lawsuit that resulted in a $24 billion judgment against China for allegedly hoarding protective gear and covering up the early outbreak, as perCNN.
Earlier this year, the CIA shifted its assessment, saying the pandemic most likely started in a lab, though the agency said it was ""low confidence"". In its conclusion, it said both lab and natural origins remain plausible.
An official from China's National Health Commission added that the next phase of COVID-19 origin tracing should focus on the US.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:04:49,Positive
https://www.ndtv.com/world-news/what-they-deserve-trump-to-strip-harvard-of-its-tax-exempt-status-8313081#pfrom=home-ndtvworld_world_top_scroll,"""What They Deserve"": Trump To Strip Harvard Of Its Tax Exempt Status","Fri, 02 May 2025 17:59:38 +0530","President Trump announced plans to revoke Harvard University's tax-exempt status, stating in a social media post that it's what the institution deserves.
US President Donald Trump said on Friday that the administration will strip Harvard University of its tax exempt status.
""We are going to be taking away Harvard's Tax Exempt Status. It's what they deserve!"" Trump said in a post on his social media platform.
On Tuesday, the Ivy League University released its long awaited internal probe report on campus antisemitism, which showed that latter harboured a hostile environment towards Jews, Israelis and Muslims.
“I am sorry for the moments when we failed to meet the high expectations we rightfully set for our community,” Harvard's interim president Alan Garbar said in a statement.This move comes amid Trump administration freezing $2.2 billion in multiyear federal grants over Harvard's refusal to help stamp out alleged antisemitism and hate in the university campus.
Harvard had responded by earlier by saying that the removal of its tax exempt status would jeopardise critical research, its educational mission and reduce financial aid for students.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:03:43,Negative
